Date;BLANKS;team1;team2;score1;score2
09/08/2022;-;Los Angeles Rams;Buffalo Bills;10;32
09/11/2022;-;Houston Texans;Indianapolis Colts;20;21
09/11/2022;-;Chicago Bears;San Francisco 49ers;19;10
09/11/2022;-;Cincinnati Bengals;Pittsburgh Steelers;20;23
09/11/2022;-;Detroit Lions;Philadelphia Eagles;35;38
09/11/2022;-;New York Jets;Baltimore Ravens;9;24
09/11/2022;-;Atlanta Falcons;New Orleans Saints;26;27
09/11/2022;-;Miami Dolphins;New England Patriots;20;7
09/11/2022;-;Washington Commanders;Jacksonville Jaguars;28;22
09/11/2022;-;Carolina Panthers;Cleveland Browns;24;26
09/11/2022;-;Arizona Cardinals;Kansas City Chiefs;21;44
09/11/2022;-;Los Angeles Chargers;Las Vegas Raiders;24;19
09/11/2022;-;Tennessee Titans;New York Giants;20;21
09/11/2022;-;Minnesota Vikings;Green Bay Packers;23;7
09/11/2022;-;Dallas Cowboys;Tampa Bay Buccaneers;3;19
09/12/2022;-;Seattle Seahawks;Denver Broncos;17;16
09/15/2022;-;Kansas City Chiefs;Los Angeles Chargers;27;24
09/18/2022;-;New Orleans Saints;Tampa Bay Buccaneers;10;20
09/18/2022;-;New York Giants;Carolina Panthers;19;16
09/18/2022;-;Pittsburgh Steelers;New England Patriots;14;17
09/18/2022;-;Jacksonville Jaguars;Indianapolis Colts;24;0
09/18/2022;-;Cleveland Browns;New York Jets;30;31
09/18/2022;-;Detroit Lions;Washington Commanders;36;27
09/18/2022;-;Baltimore Ravens;Miami Dolphins;38;42
09/18/2022;-;Los Angeles Rams;Atlanta Falcons;31;27
09/18/2022;-;San Francisco 49ers;Seattle Seahawks;27;7
09/18/2022;-;Las Vegas Raiders;Arizona Cardinals;23;29
09/18/2022;-;Denver Broncos;Houston Texans;16;9
09/18/2022;-;Dallas Cowboys;Cincinnati Bengals;20;17
09/18/2022;-;Green Bay Packers;Chicago Bears;27;10
09/19/2022;-;Buffalo Bills;Tennessee Titans;41;7
09/19/2022;-;Philadelphia Eagles;Minnesota Vikings;24;7
09/22/2022;-;Cleveland Browns;Pittsburgh Steelers;29;17
09/25/2022;-;Chicago Bears;Houston Texans;23;20
09/25/2022;-;Tennessee Titans;Las Vegas Raiders;24;22
09/25/2022;-;Minnesota Vikings;Detroit Lions;28;24
09/25/2022;-;New England Patriots;Baltimore Ravens;26;37
09/25/2022;-;New York Jets;Cincinnati Bengals;12;27
09/25/2022;-;Indianapolis Colts;Kansas City Chiefs;20;17
09/25/2022;-;Miami Dolphins;Buffalo Bills;21;19
09/25/2022;-;Washington Commanders;Philadelphia Eagles;8;24
09/25/2022;-;Carolina Panthers;New Orleans Saints;22;14
09/25/2022;-;Los Angeles Chargers;Jacksonville Jaguars;10;38
09/25/2022;-;Seattle Seahawks;Atlanta Falcons;23;27
09/25/2022;-;Arizona Cardinals;Los Angeles Rams;12;20
09/25/2022;-;Tampa Bay Buccaneers;Green Bay Packers;12;14
09/25/2022;-;Denver Broncos;San Francisco 49ers;11;10
09/26/2022;-;New York Giants;Dallas Cowboys;16;23
09/29/2022;-;Cincinnati Bengals;Miami Dolphins;27;15
10/02/2022;-;New Orleans Saints;Minnesota Vikings;25;28
10/02/2022;-;Dallas Cowboys;Washington Commanders;25;10
10/02/2022;-;Houston Texans;Los Angeles Chargers;24;34
10/02/2022;-;Indianapolis Colts;Tennessee Titans;17;24
10/02/2022;-;Atlanta Falcons;Cleveland Browns;23;20
10/02/2022;-;Detroit Lions;Seattle Seahawks;45;48
10/02/2022;-;Baltimore Ravens;Buffalo Bills;20;23
10/02/2022;-;New York Giants;Chicago Bears;20;12
10/02/2022;-;Philadelphia Eagles;Jacksonville Jaguars;29;21
10/02/2022;-;Pittsburgh Steelers;New York Jets;20;24
10/02/2022;-;Carolina Panthers;Arizona Cardinals;16;26
10/02/2022;-;Las Vegas Raiders;Denver Broncos;32;23
10/02/2022;-;Green Bay Packers;New England Patriots;27;24
10/02/2022;-;Tampa Bay Buccaneers;Kansas City Chiefs;31;41
10/03/2022;-;San Francisco 49ers;Los Angeles Rams;24;9
10/06/2022;-;Denver Broncos;Indianapolis Colts;9;12
10/09/2022;-;Green Bay Packers;New York Giants;22;27
10/09/2022;-;Minnesota Vikings;Chicago Bears;29;22
10/09/2022;-;New Orleans Saints;Seattle Seahawks;39;32
10/09/2022;-;New York Jets;Miami Dolphins;40;17
10/09/2022;-;New England Patriots;Detroit Lions;29;0
10/09/2022;-;Buffalo Bills;Pittsburgh Steelers;38;3
10/09/2022;-;Tampa Bay Buccaneers;Atlanta Falcons;21;15
10/09/2022;-;Washington Commanders;Tennessee Titans;17;21
10/09/2022;-;Jacksonville Jaguars;Houston Texans;6;13
10/09/2022;-;Cleveland Browns;Los Angeles Chargers;28;30
10/09/2022;-;Carolina Panthers;San Francisco 49ers;15;37
10/09/2022;-;Los Angeles Rams;Dallas Cowboys;10;22
